id;timestamp;temperature;moisture;ph;conductivity;nitrogen;phosporus;kalium;node;real_n;real_p;real_k;real_fe;real_zn;real_cu;macro_now;micro_now;add_ma;add_mi;need_ma;need_mi
753;2025-05-21 23.49.23;25,5;90,9;3,6;470,0;33,0;27,0;29,0;1;17,6;14,4;15,5;4,0;2,5;0,8;47,5;7,3;186,5;147,7;1;1
759;2025-05-21 23.50.09;25,5;91,3;3,6;470,0;38,0;22,0;33,0;1;20,3;11,8;17,6;4,0;2,5;0,8;49,7;7,3;184,3;147,7;1;1
760;2025-05-21 23.50.16;25,5;91,8;3,6;470,0;32,0;10,0;26,0;1;17,1;5,3;13,9;4,0;2,5;0,8;36,3;7,3;197,7;147,7;1;1
763;2025-05-21 23.50.38;25,5;91,3;3,6;470,0;37,0;16,0;21,0;1;19,8;8,5;11,2;4,0;2,5;0,8;39,5;7,3;194,5;147,7;1;1
764;2025-05-21 23.50.46;25,5;91,0;3,6;470,0;38,0;11,0;28,0;1;20,3;5,9;15,0;4,0;2,5;0,8;41,1;7,3;192,9;147,7;1;1
766;2025-05-21 23.51.01;25,5;91,5;3,6;470,0;36,0;16,0;32,0;1;19,2;8,5;17,1;4,0;2,5;0,8;44,9;7,3;189,1;147,7;1;1
769;2025-05-21 23.51.23;25,6;90,6;3,6;470,0;29,0;24,0;23,0;1;15,5;12,8;12,3;4,0;2,5;0,8;40,6;7,2;193,4;147,8;1;1
784;2025-05-21 23.53.16;25,6;91,2;3,5;470,0;37,0;21,0;30,0;1;19,8;11,2;16,0;4,0;2,5;0,8;47,0;7,3;187,0;147,7;1;1
791;2025-05-21 23.54.07;25,6;91,3;3,5;470,0;35,0;20,0;24,0;1;18,7;10,7;12,8;4,0;2,5;0,8;42,2;7,3;191,8;147,7;1;1
794;2025-05-21 23.54.30;25,5;90,9;3,5;470,0;35,0;13,0;34,0;1;18,7;6,9;18,2;4,0;2,5;0,8;43,8;7,3;190,2;147,7;1;1
796;2025-05-21 23.54.45;25,5;91,3;3,4;470,0;24,0;12,0;23,0;1;12,8;6,4;12,3;4,1;2,5;0,8;31,5;7,4;202,5;147,6;1;1
798;2025-05-21 23.55.00;25,5;91,3;3,4;470,0;33,0;19,0;29,0;1;17,6;10,1;15,5;4,1;2,5;0,8;43,3;7,4;190,7;147,6;1;1
801;2025-05-21 23.55.22;25,5;91,3;3,4;470,0;28,0;27,0;22,0;1;15,0;14,4;11,8;4,1;2,5;0,8;41,1;7,4;192,9;147,6;1;1
803;2025-05-21 23.55.37;25,5;90,6;3,4;470,0;28,0;21,0;24,0;1;15,0;11,2;12,8;4,0;2,5;0,8;39,0;7,3;195,0;147,7;1;1
810;2025-05-21 23.56.27;25,5;91,0;3,4;470,0;31,0;22,0;29,0;1;16,6;11,8;15,5;4,0;2,5;0,8;43,8;7,4;190,2;147,6;1;1
816;2025-05-21 23.57.10;25,5;91,0;3,7;470,0;36,0;27,0;32,0;1;19,2;14,4;17,1;4,0;2,5;0,8;50,7;7,2;183,3;147,8;1;1
826;2025-05-21 23.58.24;25,6;91,0;4,0;470,0;31,0;16,0;24,0;1;16,6;8,5;12,8;3,9;2,4;0,7;37,9;7,0;196,1;148,0;1;1
847;2025-05-22 00.01.00;25,5;91,0;4,1;470,0;34,0;19,0;32,0;1;18,2;10,1;17,1;3,9;2,4;0,7;45,4;7,0;188,6;148,0;1;1
848;2025-05-22 00.01.08;25,5;91,0;4,1;470,0;39,0;28,0;31,0;1;20,8;15,0;16,6;3,9;2,4;0,7;52,4;7,0;181,6;148,0;1;1
851;2025-05-22 00.01.31;25,5;91,3;4,1;470,0;38,0;12,0;25,0;1;20,3;6,4;13,4;3,9;2,4;0,7;40,1;7,0;193,9;148,0;1;1
853;2025-05-22 00.01.47;25,5;91,0;4,1;470,0;37,0;27,0;23,0;1;19,8;14,4;12,3;3,9;2,4;0,7;46,5;7,0;187,5;148,0;1;1
860;2025-05-22 00.02.39;25,5;91,0;4,1;470,0;38,0;25,0;36,0;1;20,3;13,4;19,2;3,9;2,4;0,7;52,9;7,0;181,1;148,0;1;1
862;2025-05-22 00.02.54;25,5;91,2;4,1;470,0;24,0;21,0;20,0;1;12,8;11,2;10,7;3,9;2,4;0,7;34,7;7,0;199,3;148,0;1;1
865;2025-05-22 00.03.17;25,5;91,3;4,0;470,0;55,0;45,0;60,0;1;29,4;24,0;32,1;3,9;2,4;0,7;85,5;7,1;148,5;147,9;1;1
869;2025-05-22 00.03.47;25,4;90,6;4,0;470,0;56,0;40,0;62,0;1;29,9;21,4;33,1;3,9;2,4;0,7;84,4;7,0;149,6;148,0;1;1
875;2025-05-22 00.04.33;25,5;91,2;4,1;470,0;57,0;42,0;60,0;1;30,4;22,4;32,1;3,9;2,4;0,7;84,9;7,0;149,1;148,0;1;1
877;2025-05-22 00.04.48;25,5;91,2;4,1;470,0;56,0;43,0;60,0;1;29,9;23,0;32,1;3,9;2,4;0,7;84,9;7,0;149,1;148,0;1;1
878;2025-05-22 00.04.56;25,5;91,3;4,1;470,0;58,0;40,0;61,0;1;31,0;21,4;32,6;3,9;2,4;0,7;84,9;7,0;149,1;148,0;1;1
880;2025-05-22 00.05.11;25,4;91,3;4,1;470,0;57,0;45,0;59,0;1;30,4;24,0;31,5;3,9;2,4;0,7;86,0;7,0;148,0;148,0;1;1
