id;timestamp;temperature;moisture;ph;conductivity;nitrogen;phosporus;kalium;node;real_n;real_p;real_k;real_fe;real_zn;real_cu;macro_now;micro_now;add_ma;add_mi;need_ma;need_mi
145;2025-05-21 22.34.22;26,6;92,3;4;172;28;17;26;1;52,4;31,8;48,7;13,8;11,9;12,2;132,9;37,9;155,1;-32,1;1;0
150;2025-05-21 22.35.00;26,5;92,1;4;172;24;23;23;1;44,9;43,1;43,1;13,8;11,8;12,2;131,0;37,8;157,0;-32,0;1;0
152;2025-05-21 22.35.15;26,5;92,8;4;172;33;21;20;1;61,8;39,3;37,4;13,9;11,9;12,2;138,5;38,0;149,5;-32,2;1;0
155;2025-05-21 22.35.39;26,5;92,8;4,1;172;34;27;24;1;63,6;50,5;44,9;13,8;11,8;12,2;159,1;37,8;128,9;-32,0;1;0
158;2025-05-21 22.36.00;26,5;91,8;4;172;37;17;22;1;69,3;31,8;41,2;13,7;11,8;12,2;142,3;37,7;145,7;-32,0;1;0
160;2025-05-21 22.36.15;26,5;92,3;4;172;27;21;21;1;50,5;39,3;39,3;13,8;11,9;12,2;129,2;37,9;158,8;-32,1;1;0
161;2025-05-21 22.36.23;26,5;92,6;4,1;172;29;21;20;1;54,3;39,3;37,4;13,8;11,8;12,1;131,0;37,7;157,0;-32,0;1;0
167;2025-05-21 22.37.09;26,4;92,1;4;172;36;17;24;1;67,4;31,8;44,9;13,8;11,8;12,2;144,1;37,8;143,9;-32,0;1;0
171;2025-05-21 22.37.38;26,5;92,1;4;172;39;28;26;1;73,0;52,4;48,7;13,8;11,8;12,2;174,1;37,8;113,9;-32,0;1;0
172;2025-05-21 22.37.46;26,5;92,1;4;172;35;23;30;1;65,5;43,1;56,2;13,8;11,8;12,2;164,7;37,8;123,3;-32,0;1;0
176;2025-05-21 22.38.15;26,5;92,4;4;172;34;10;32;1;63,6;18,7;59,9;13,8;11,9;12,2;142,3;37,9;145,7;-32,1;1;0
183;2025-05-21 22.39.07;26,4;92,3;4;172;39;17;26;1;73,0;31,8;48,7;13,8;11,9;12,2;153,5;37,9;134,5;-32,1;1;0
186;2025-05-21 22.39.30;26,4;92,8;4;172;27;18;22;1;50,5;33,7;41,2;13,9;11,9;12,2;125,4;38,0;162,6;-32,2;1;0
199;2025-05-21 22.41.08;26,4;91,8;4;172;29;26;23;1;54,3;48,7;43,1;13,7;11,8;12,2;146,0;37,7;142,0;-32,0;1;0
201;2025-05-21 22.41.23;26,4;92,6;4;172;38;21;25;1;71,1;39,3;46,8;13,9;11,9;12,2;157,2;37,9;130,8;-32,2;1;0
203;2025-05-21 22.41.37;26,4;92,6;4;172;34;16;26;1;63,6;30,0;48,7;13,9;11,9;12,2;142,3;37,9;145,7;-32,2;1;0
206;2025-05-21 22.41.59;26,3;92,8;4;172;34;10;23;1;63,6;18,7;43,1;13,9;11,9;12,2;125,4;38,0;162,6;-32,2;1;0
211;2025-05-21 22.42.36;26,4;92,9;4;172;31;16;22;1;58,0;30,0;41,2;13,9;11,9;12,2;129,2;38,0;158,8;-32,3;1;0
213;2025-05-21 22.42.51;26,3;92,3;3,9;172;31;29;27;1;58,0;54,3;50,5;13,9;11,9;12,2;162,9;38,1;125,1;-32,3;1;0
214;2025-05-21 22.42.58;26,3;92,3;3,9;172;38;18;20;1;71,1;33,7;37,4;13,9;11,9;12,2;142,3;38,1;145,7;-32,3;1;0
216;2025-05-21 22.43.13;26,3;92,6;3,9;172;31;29;25;1;58,0;54,3;46,8;14,0;11,9;12,2;159,1;38,1;128,9;-32,4;1;0
219;2025-05-21 22.43.36;26,3;91,8;3,9;172;36;16;23;1;67,4;30,0;43,1;13,8;11,9;12,2;140,4;37,9;147,6;-32,2;1;0
220;2025-05-21 22.43.44;26,3;92,6;3,9;172;37;10;32;1;69,3;18,7;59,9;14,0;11,9;12,2;147,9;38,1;140,1;-32,4;1;0
226;2025-05-21 22.44.29;26,3;92,6;3,9;172;35;25;31;1;65,5;46,8;58,0;14,0;11,9;12,2;170,4;38,1;117,6;-32,4;1;0
229;2025-05-21 22.44.52;26,3;91,5;3,9;172;37;27;27;1;69,3;50,5;50,5;13,8;11,8;12,2;170,4;37,8;117,6;-32,1;1;0
231;2025-05-21 22.45.07;26,3;92,1;3,9;172;37;23;27;1;69,3;43,1;50,5;13,9;11,9;12,2;162,9;38,0;125,1;-32,2;1;0
233;2025-05-21 22.45.22;26,3;91,5;4;172;38;24;22;1;71,1;44,9;41,2;13,7;11,8;12,1;157,2;37,6;130,8;-31,9;1;0
238;2025-05-21 22.46.00;26,3;92;4;172;34;15;22;1;63,6;28,1;41,2;13,8;11,8;12,2;132,9;37,8;155,1;-32,0;1;0
241;2025-05-21 22.46.22;26,3;91,5;4;172;36;10;21;1;67,4;18,7;39,3;13,7;11,8;12,1;125,4;37,6;162,6;-31,9;1;0
244;2025-05-21 22.46.43;26,3;92,6;4;172;30;12;21;1;56,2;22,5;39,3;13,9;11,9;12,2;117,9;37,9;170,1;-32,2;1;0
248;2025-05-21 22.47.13;26,3;92,1;4;172;30;23;21;1;56,2;43,1;39,3;13,8;11,8;12,2;138,5;37,8;149,5;-32,0;1;0
252;2025-05-21 22.47.42;26,2;92,1;4;172;33;16;27;1;61,8;30,0;50,5;13,8;11,8;12,2;142,3;37,8;145,7;-32,0;1;0
254;2025-05-21 22.47.57;26,2;92,1;4;172;33;10;31;1;61,8;18,7;58,0;13,8;11,8;12,2;138,5;37,8;149,5;-32,0;1;0
257;2025-05-21 22.48.19;26,2;92,1;4;172;34;24;24;1;63,6;44,9;44,9;13,8;11,8;12,2;153,5;37,8;134,5;-32,0;1;0
269;2025-05-21 22.49.47;26,2;92,4;3,9;172;37;25;35;1;69,3;46,8;65,5;13,9;11,9;12,2;181,6;38,1;106,4;-32,3;1;0
274;2025-05-21 22.50.25;26,2;92,1;3,8;172;30;25;27;1;56,2;46,8;50,5;14,0;12,0;12,3;153,5;38,2;134,5;-32,4;1;0
